	DOPC			DOPC		
C32	0.269	0.030	C22	0.176	0.037	
C33	0.230	0.037	C23	0.240	0.034	
C34	0.266	0.034	C24	0.241	0.034	
C35	0.255	0.035	C25	0.252	0.034	
C36	0.255	0.035	C26	0.233	0.036	
C37	0.234	0.037	C27	0.231	0.037	
C38	0.195	0.039	C28	0.166	0.041	
C39	0.135	0.040	C29	0.114	0.043	
C310	0.099	0.041	C210	0.048	0.034	
C311	0.132	0.043	C211	0.121	0.043	
C312	0.174	0.041	C212	0.179	0.041	
C313	0.168	0.042	C213	0.180	0.041	
C314	0.172	0.041	C214	0.191	0.040	
C315	0.147	0.043	C215	0.170	0.042	
C316	0.130	0.044	C216	0.153	0.043	
C317	0.091	0.044	C217	0.110	0.044	
C318	0.047	0.034	C218	0.051	0.036	
Av	0.176	0.016	Av	0.168	0.015	
