	POPI			POPI		
C32	0.249	0.033	C22	0.197	0.036	
C33	0.231	0.036	C23	0.258	0.032	
C34	0.276	0.033	C24	0.248	0.033	
C35	0.275	0.034	C25	0.260	0.032	
C36	0.291	0.032	C26	0.242	0.035	
C37	0.284	0.034	C27	0.239	0.036	
C38	0.284	0.033	C28	0.174	0.040	
C39	0.273	0.034	C29	0.120	0.042	
C310	0.264	0.035	C210	0.051	0.035	
C311	0.246	0.037	C211	0.126	0.043	
C312	0.231	0.038	C212	0.187	0.040	
C313	0.204	0.041	C213	0.189	0.040	
C314	0.175	0.042	C214	0.199	0.040	
C315	0.126	0.045	C215	0.177	0.042	
C316	0.051	0.036	C216	0.160	0.042	
 	 	 	C217	0.114	0.044	
 	 	 	C218	0.051	0.036	
Av	0.231	0.017	Av	0.176	0.015	
