	POPI			POPI		
C32	0.247	0.033	C22	0.202	0.035	
C33	0.226	0.036	C23	0.254	0.032	
C34	0.267	0.032	C24	0.243	0.034	
C35	0.265	0.033	C25	0.249	0.034	
C36	0.282	0.031	C26	0.232	0.036	
C37	0.278	0.032	C27	0.228	0.036	
C38	0.279	0.032	C28	0.168	0.040	
C39	0.269	0.034	C29	0.113	0.042	
C310	0.262	0.034	C210	0.052	0.035	
C311	0.243	0.036	C211	0.125	0.042	
C312	0.228	0.037	C212	0.185	0.040	
C313	0.202	0.040	C213	0.188	0.040	
C314	0.172	0.042	C214	0.198	0.039	
C315	0.125	0.045	C215	0.177	0.041	
C316	0.050	0.036	C216	0.160	0.042	
 	 	 	C217	0.114	0.044	
 	 	 	C218	0.051	0.036	
Av	0.226	0.016	Av	0.173	0.015	
