	DOPC			DOPC		
C32	0.260	0.032	C22	0.186	0.036	
C33	0.228	0.035	C23	0.243	0.034	
C34	0.261	0.032	C24	0.245	0.034	
C35	0.254	0.034	C25	0.253	0.034	
C36	0.252	0.034	C26	0.236	0.035	
C37	0.233	0.035	C27	0.232	0.036	
C38	0.190	0.039	C28	0.167	0.040	
C39	0.132	0.040	C29	0.115	0.041	
C310	0.091	0.041	C210	0.051	0.035	
C311	0.129	0.042	C211	0.121	0.042	
C312	0.172	0.040	C212	0.181	0.039	
C313	0.168	0.041	C213	0.183	0.040	
C314	0.172	0.041	C214	0.193	0.039	
C315	0.148	0.043	C215	0.171	0.041	
C316	0.130	0.043	C216	0.154	0.042	
C317	0.091	0.044	C217	0.110	0.044	
C318	0.047	0.034	C218	0.050	0.035	
Av	0.174	0.016	Av	0.170	0.015	
