	POPI			POPI		
C32	0.252	0.051	C22	0.208	0.053	
C33	0.238	0.056	C23	0.262	0.049	
C34	0.281	0.050	C24	0.254	0.052	
C35	0.283	0.052	C25	0.261	0.054	
C36	0.299	0.049	C26	0.243	0.057	
C37	0.295	0.051	C27	0.239	0.058	
C38	0.297	0.049	C28	0.177	0.062	
C39	0.288	0.051	C29	0.116	0.062	
C310	0.281	0.052	C210	0.076	0.052	
C311	0.266	0.054	C211	0.143	0.063	
C312	0.253	0.055	C212	0.204	0.061	
C313	0.228	0.059	C213	0.205	0.061	
C314	0.199	0.062	C214	0.214	0.060	
C315	0.149	0.066	C215	0.194	0.063	
C316	0.073	0.052	C216	0.178	0.064	
 	 	 	C217	0.132	0.065	
 	 	 	C218	0.073	0.052	
Av	0.245	0.016	Av	0.187	0.014	
