	DOPC			DOPC		
C32	0.276	0.049	C22	0.179	0.057	
C33	0.247	0.053	C23	0.249	0.052	
C34	0.280	0.048	C24	0.248	0.053	
C35	0.271	0.051	C25	0.267	0.052	
C36	0.271	0.051	C26	0.251	0.055	
C37	0.251	0.054	C27	0.247	0.056	
C38	0.209	0.059	C28	0.175	0.064	
C39	0.148	0.060	C29	0.126	0.064	
C310	0.114	0.059	C210	0.068	0.049	
C311	0.148	0.064	C211	0.134	0.065	
C312	0.190	0.061	C212	0.197	0.063	
C313	0.189	0.062	C213	0.200	0.063	
C314	0.192	0.062	C214	0.212	0.060	
C315	0.168	0.065	C215	0.191	0.062	
C316	0.150	0.065	C216	0.174	0.064	
C317	0.112	0.063	C217	0.129	0.065	
C318	0.069	0.050	C218	0.072	0.052	
Av	0.193	0.015	Av	0.183	0.014	
