	DOPC			DOPC		
C32	0.273	0.036	C22	0.170	0.046	
C33	0.239	0.044	C23	0.247	0.043	
C34	0.268	0.039	C24	0.251	0.043	
C35	0.261	0.041	C25	0.264	0.041	
C36	0.259	0.041	C26	0.250	0.042	
C37	0.239	0.043	C27	0.247	0.041	
C38	0.200	0.048	C28	0.179	0.048	
C39	0.143	0.050	C29	0.124	0.049	
C310	0.111	0.049	C210	0.057	0.040	
C311	0.144	0.052	C211	0.132	0.052	
C312	0.186	0.050	C212	0.197	0.048	
C313	0.183	0.051	C213	0.199	0.048	
C314	0.186	0.051	C214	0.211	0.047	
C315	0.162	0.052	C215	0.189	0.049	
C316	0.143	0.053	C216	0.172	0.050	
C317	0.102	0.053	C217	0.125	0.053	
C318	0.056	0.040	C218	0.060	0.043	
Av	0.185	0.015	Av	0.181	0.015	
