	POPI			POPI		
C32	0.254	0.038	C22	0.195	0.044	
C33	0.232	0.043	C23	0.255	0.041	
C34	0.282	0.039	C24	0.246	0.041	
C35	0.278	0.040	C25	0.261	0.040	
C36	0.296	0.038	C26	0.247	0.042	
C37	0.288	0.038	C27	0.245	0.041	
C38	0.291	0.038	C28	0.177	0.049	
C39	0.277	0.041	C29	0.126	0.051	
C310	0.271	0.041	C210	0.057	0.040	
C311	0.254	0.044	C211	0.129	0.051	
C312	0.240	0.046	C212	0.194	0.048	
C313	0.213	0.048	C213	0.197	0.048	
C314	0.185	0.051	C214	0.209	0.047	
C315	0.136	0.053	C215	0.188	0.049	
C316	0.060	0.043	C216	0.170	0.050	
 	 	 	C217	0.122	0.053	
 	 	 	C218	0.060	0.042	
Av	0.237	0.016	Av	0.181	0.015	
