	POPI			POPI		
C32	0.245	0.043	C22	0.219	0.045	
C33	0.226	0.047	C23	0.266	0.044	
C34	0.270	0.043	C24	0.254	0.045	
C35	0.268	0.043	C25	0.258	0.044	
C36	0.284	0.041	C26	0.241	0.048	
C37	0.280	0.041	C27	0.235	0.047	
C38	0.282	0.041	C28	0.173	0.053	
C39	0.271	0.044	C29	0.118	0.055	
C310	0.265	0.045	C210	0.059	0.042	
C311	0.250	0.046	C211	0.123	0.055	
C312	0.237	0.048	C212	0.186	0.053	
C313	0.212	0.051	C213	0.190	0.053	
C314	0.183	0.054	C214	0.202	0.052	
C315	0.137	0.057	C215	0.182	0.054	
C316	0.063	0.045	C216	0.165	0.055	
 	 	 	C217	0.120	0.056	
 	 	 	C218	0.062	0.045	
Av	0.232	0.015	Av	0.180	0.015	
