	DOPC			DOPC		
C32	0.258	0.042	C22	0.183	0.047	
C33	0.229	0.046	C23	0.246	0.046	
C34	0.261	0.043	C24	0.245	0.045	
C35	0.251	0.045	C25	0.255	0.044	
C36	0.250	0.044	C26	0.236	0.047	
C37	0.230	0.047	C27	0.233	0.046	
C38	0.191	0.050	C28	0.165	0.054	
C39	0.130	0.052	C29	0.115	0.054	
C310	0.099	0.051	C210	0.059	0.042	
C311	0.130	0.055	C211	0.129	0.055	
C312	0.174	0.052	C212	0.187	0.052	
C313	0.171	0.054	C213	0.189	0.053	
C314	0.176	0.054	C214	0.200	0.052	
C315	0.154	0.056	C215	0.178	0.054	
C316	0.138	0.056	C216	0.160	0.055	
C317	0.100	0.055	C217	0.118	0.056	
C318	0.059	0.043	C218	0.062	0.044	
Av	0.177	0.015	Av	0.174	0.014	
