	POPI			POPI		
C32	0.250	0.033	C22	0.193	0.034	
C33	0.228	0.036	C23	0.248	0.032	
C34	0.268	0.032	C24	0.237	0.034	
C35	0.266	0.032	C25	0.245	0.034	
C36	0.282	0.031	C26	0.227	0.036	
C37	0.278	0.032	C27	0.224	0.036	
C38	0.279	0.033	C28	0.164	0.040	
C39	0.269	0.034	C29	0.110	0.042	
C310	0.261	0.035	C210	0.052	0.036	
C311	0.242	0.037	C211	0.124	0.042	
C312	0.227	0.038	C212	0.184	0.040	
C313	0.200	0.040	C213	0.187	0.040	
C314	0.171	0.042	C214	0.199	0.039	
C315	0.124	0.045	C215	0.178	0.041	
C316	0.051	0.036	C216	0.161	0.042	
 	 	 	C217	0.115	0.044	
 	 	 	C218	0.051	0.036	
Av	0.226	0.016	Av	0.171	0.015	
