	POPI			POPI		
C32	0.245	0.033	C22	0.205	0.034	
C33	0.229	0.035	C23	0.256	0.033	
C34	0.273	0.031	C24	0.241	0.034	
C35	0.272	0.032	C25	0.251	0.034	
C36	0.288	0.030	C26	0.233	0.035	
C37	0.282	0.032	C27	0.230	0.036	
C38	0.283	0.032	C28	0.168	0.040	
C39	0.271	0.033	C29	0.113	0.043	
C310	0.262	0.034	C210	0.054	0.037	
C311	0.242	0.036	C211	0.124	0.044	
C312	0.227	0.037	C212	0.184	0.040	
C313	0.200	0.040	C213	0.186	0.040	
C314	0.171	0.042	C214	0.196	0.040	
C315	0.122	0.045	C215	0.174	0.041	
C316	0.050	0.035	C216	0.156	0.042	
 	 	 	C217	0.111	0.044	
 	 	 	C218	0.051	0.036	
Av	0.228	0.017	Av	0.173	0.015	
