	DOPC			DOPC		
C32	0.255	0.031	C22	0.175	0.037	
C33	0.223	0.038	C23	0.230	0.034	
C34	0.255	0.034	C24	0.230	0.035	
C35	0.245	0.035	C25	0.239	0.035	
C36	0.247	0.035	C26	0.224	0.036	
C37	0.229	0.036	C27	0.221	0.036	
C38	0.193	0.039	C28	0.159	0.040	
C39	0.135	0.041	C29	0.110	0.042	
C310	0.099	0.041	C210	0.047	0.033	
C311	0.131	0.043	C211	0.116	0.043	
C312	0.170	0.040	C212	0.174	0.042	
C313	0.164	0.042	C213	0.179	0.042	
C314	0.167	0.042	C214	0.190	0.041	
C315	0.141	0.043	C215	0.171	0.042	
C316	0.125	0.044	C216	0.154	0.043	
C317	0.088	0.044	C217	0.111	0.044	
C318	0.046	0.034	C218	0.050	0.035	
Av	0.171	0.015	Av	0.163	0.014	
