	POPI			POPI		
C32	0.257	0.036	C22	0.197	0.043	
C33	0.238	0.039	C23	0.257	0.035	
C34	0.281	0.034	C24	0.246	0.037	
C35	0.279	0.035	C25	0.256	0.036	
C36	0.292	0.033	C26	0.238	0.038	
C37	0.286	0.034	C27	0.233	0.038	
C38	0.286	0.034	C28	0.168	0.044	
C39	0.275	0.036	C29	0.113	0.046	
C310	0.267	0.037	C210	0.054	0.037	
C311	0.249	0.039	C211	0.128	0.047	
C312	0.233	0.041	C212	0.187	0.044	
C313	0.207	0.043	C213	0.189	0.045	
C314	0.178	0.045	C214	0.199	0.044	
C315	0.129	0.048	C215	0.178	0.045	
C316	0.055	0.038	C216	0.161	0.046	
 	 	 	C217	0.116	0.048	
 	 	 	C218	0.054	0.038	
Av	0.234	0.017	Av	0.175	0.015	
