	DOPC			DOPC		
C32	0.261	0.035	C22	0.178	0.044	
C33	0.225	0.040	C23	0.237	0.038	
C34	0.261	0.036	C24	0.239	0.037	
C35	0.254	0.037	C25	0.250	0.038	
C36	0.252	0.037	C26	0.232	0.039	
C37	0.231	0.040	C27	0.228	0.040	
C38	0.191	0.042	C28	0.163	0.045	
C39	0.136	0.044	C29	0.110	0.046	
C310	0.096	0.045	C210	0.054	0.038	
C311	0.128	0.047	C211	0.122	0.047	
C312	0.171	0.045	C212	0.180	0.045	
C313	0.167	0.045	C213	0.183	0.045	
C314	0.172	0.045	C214	0.193	0.043	
C315	0.148	0.047	C215	0.173	0.045	
C316	0.132	0.048	C216	0.157	0.046	
C317	0.093	0.047	C217	0.113	0.048	
C318	0.050	0.036	C218	0.054	0.038	
Av	0.175	0.015	Av	0.169	0.014	
