	POPI			POPI		
C32	0.239	0.035	C22	0.196	0.039	
C33	0.226	0.037	C23	0.255	0.034	
C34	0.271	0.033	C24	0.245	0.035	
C35	0.271	0.035	C25	0.255	0.035	
C36	0.288	0.033	C26	0.237	0.036	
C37	0.285	0.035	C27	0.235	0.036	
C38	0.284	0.035	C28	0.168	0.042	
C39	0.274	0.036	C29	0.115	0.043	
C310	0.266	0.036	C210	0.053	0.036	
C311	0.249	0.038	C211	0.125	0.045	
C312	0.233	0.039	C212	0.186	0.042	
C313	0.206	0.041	C213	0.190	0.042	
C314	0.178	0.043	C214	0.202	0.041	
C315	0.130	0.046	C215	0.181	0.043	
C316	0.053	0.037	C216	0.164	0.043	
 	 	 	C217	0.118	0.046	
 	 	 	C218	0.053	0.037	
Av	0.230	0.016	Av	0.175	0.015	
