	DOPC			DOPC		
C32	0.258	0.034	C22	0.179	0.039	
C33	0.221	0.036	C23	0.242	0.035	
C34	0.259	0.033	C24	0.240	0.036	
C35	0.250	0.034	C25	0.249	0.037	
C36	0.251	0.034	C26	0.230	0.039	
C37	0.232	0.037	C27	0.225	0.039	
C38	0.194	0.038	C28	0.162	0.043	
C39	0.136	0.041	C29	0.114	0.045	
C310	0.102	0.042	C210	0.047	0.034	
C311	0.131	0.044	C211	0.114	0.045	
C312	0.171	0.042	C212	0.173	0.042	
C313	0.168	0.043	C213	0.177	0.042	
C314	0.172	0.043	C214	0.187	0.041	
C315	0.146	0.045	C215	0.168	0.043	
C316	0.131	0.046	C216	0.152	0.044	
C317	0.092	0.045	C217	0.109	0.046	
C318	0.049	0.036	C218	0.051	0.036	
Av	0.174	0.015	Av	0.166	0.015	
