	POPI			POPI		
C32	0.244	0.035	C22	0.203	0.036	
C33	0.222	0.039	C23	0.256	0.035	
C34	0.269	0.035	C24	0.245	0.036	
C35	0.266	0.036	C25	0.256	0.036	
C36	0.282	0.035	C26	0.239	0.038	
C37	0.275	0.037	C27	0.236	0.038	
C38	0.277	0.036	C28	0.175	0.043	
C39	0.266	0.037	C29	0.121	0.045	
C310	0.260	0.037	C210	0.056	0.038	
C311	0.243	0.039	C211	0.129	0.047	
C312	0.229	0.041	C212	0.192	0.044	
C313	0.203	0.043	C213	0.193	0.044	
C314	0.175	0.045	C214	0.201	0.044	
C315	0.128	0.048	C215	0.179	0.046	
C316	0.054	0.038	C216	0.162	0.046	
 	 	 	C217	0.115	0.049	
 	 	 	C218	0.055	0.038	
Av	0.226	0.016	Av	0.177	0.015	
