	DOPC			DOPC		
C32	0.257	0.034	C22	0.180	0.040	
C33	0.224	0.038	C23	0.235	0.037	
C34	0.259	0.035	C24	0.238	0.037	
C35	0.250	0.037	C25	0.246	0.038	
C36	0.247	0.038	C26	0.231	0.039	
C37	0.230	0.039	C27	0.229	0.039	
C38	0.192	0.042	C28	0.164	0.045	
C39	0.133	0.044	C29	0.111	0.046	
C310	0.098	0.043	C210	0.053	0.037	
C311	0.129	0.046	C211	0.120	0.047	
C312	0.171	0.045	C212	0.180	0.044	
C313	0.166	0.046	C213	0.182	0.045	
C314	0.171	0.045	C214	0.192	0.044	
C315	0.149	0.047	C215	0.172	0.046	
C316	0.132	0.048	C216	0.155	0.047	
C317	0.094	0.048	C217	0.112	0.048	
C318	0.050	0.036	C218	0.054	0.038	
Av	0.174	0.015	Av	0.168	0.014	
