	POPI			POPI		
C32	0.256	0.033	C22	0.193	0.038	
C33	0.232	0.038	C23	0.261	0.033	
C34	0.277	0.034	C24	0.252	0.034	
C35	0.273	0.036	C25	0.259	0.034	
C36	0.288	0.034	C26	0.241	0.036	
C37	0.281	0.034	C27	0.238	0.037	
C38	0.280	0.034	C28	0.173	0.041	
C39	0.267	0.036	C29	0.115	0.044	
C310	0.259	0.036	C210	0.052	0.036	
C311	0.240	0.038	C211	0.123	0.045	
C312	0.226	0.039	C212	0.186	0.042	
C313	0.200	0.042	C213	0.189	0.042	
C314	0.173	0.044	C214	0.199	0.041	
C315	0.125	0.046	C215	0.176	0.043	
C316	0.052	0.037	C216	0.159	0.043	
 	 	 	C217	0.113	0.046	
 	 	 	C218	0.053	0.037	
Av	0.229	0.017	Av	0.175	0.016	
