	DOPC			DOPC		
C32	0.254	0.032	C22	0.182	0.038	
C33	0.221	0.038	C23	0.232	0.035	
C34	0.257	0.035	C24	0.230	0.036	
C35	0.249	0.035	C25	0.241	0.036	
C36	0.247	0.036	C26	0.226	0.037	
C37	0.229	0.038	C27	0.223	0.038	
C38	0.189	0.041	C28	0.163	0.043	
C39	0.136	0.042	C29	0.115	0.044	
C310	0.098	0.043	C210	0.050	0.035	
C311	0.126	0.044	C211	0.115	0.045	
C312	0.167	0.042	C212	0.172	0.042	
C313	0.162	0.043	C213	0.173	0.043	
C314	0.166	0.043	C214	0.183	0.042	
C315	0.143	0.045	C215	0.162	0.044	
C316	0.127	0.046	C216	0.147	0.044	
C317	0.091	0.046	C217	0.106	0.046	
C318	0.048	0.035	C218	0.051	0.036	
Av	0.171	0.015	Av	0.163	0.014	
