	DOPC			DOPC		
C32	0.260	0.036	C22	0.177	0.043	
C33	0.231	0.040	C23	0.240	0.038	
C34	0.265	0.036	C24	0.237	0.040	
C35	0.254	0.038	C25	0.245	0.040	
C36	0.254	0.039	C26	0.227	0.041	
C37	0.234	0.041	C27	0.224	0.042	
C38	0.195	0.044	C28	0.160	0.046	
C39	0.139	0.046	C29	0.110	0.047	
C310	0.100	0.047	C210	0.053	0.038	
C311	0.128	0.048	C211	0.117	0.050	
C312	0.170	0.047	C212	0.175	0.048	
C313	0.162	0.048	C213	0.177	0.047	
C314	0.167	0.048	C214	0.188	0.047	
C315	0.144	0.049	C215	0.167	0.048	
C316	0.128	0.050	C216	0.152	0.049	
C317	0.091	0.049	C217	0.111	0.050	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.175	0.015	Av	0.166	0.014	
