	POPI			POPI		
C32	0.249	0.038	C22	0.198	0.042	
C33	0.233	0.041	C23	0.256	0.040	
C34	0.274	0.038	C24	0.247	0.040	
C35	0.271	0.039	C25	0.255	0.040	
C36	0.285	0.038	C26	0.237	0.041	
C37	0.278	0.039	C27	0.234	0.041	
C38	0.280	0.038	C28	0.165	0.046	
C39	0.268	0.040	C29	0.114	0.048	
C310	0.261	0.040	C210	0.055	0.039	
C311	0.244	0.042	C211	0.126	0.049	
C312	0.229	0.043	C212	0.188	0.046	
C313	0.204	0.045	C213	0.191	0.047	
C314	0.176	0.047	C214	0.202	0.045	
C315	0.128	0.050	C215	0.181	0.047	
C316	0.056	0.040	C216	0.164	0.048	
 	 	 	C217	0.119	0.050	
 	 	 	C218	0.057	0.040	
Av	0.229	0.016	Av	0.176	0.015	
