	POPI			POPI		
C32	0.254	0.128	C22	0.203	0.120	
C33	0.261	0.130	C23	0.251	0.126	
C34	0.296	0.122	C24	0.256	0.127	
C35	0.300	0.123	C25	0.274	0.123	
C36	0.307	0.122	C26	0.271	0.127	
C37	0.302	0.125	C27	0.278	0.124	
C38	0.305	0.124	C28	0.231	0.128	
C39	0.302	0.125	C29	0.186	0.119	
C310	0.294	0.127	C210	0.168	0.115	
C311	0.285	0.129	C211	0.214	0.127	
C312	0.279	0.130	C212	0.258	0.129	
C313	0.261	0.132	C213	0.261	0.129	
C314	0.241	0.133	C214	0.266	0.128	
C315	0.215	0.130	C215	0.251	0.130	
C316	0.183	0.128	C216	0.240	0.131	
 	 	 	C217	0.211	0.130	
 	 	 	C218	0.179	0.124	
Av	0.272	0.009	Av	0.235	0.008	
