	DOPC			DOPC		
C32	0.284	0.126	C22	0.303	0.126	
C33	0.271	0.131	C23	0.310	0.122	
C34	0.321	0.114	C24	0.302	0.122	
C35	0.320	0.116	C25	0.296	0.124	
C36	0.312	0.118	C26	0.282	0.129	
C37	0.298	0.121	C27	0.270	0.129	
C38	0.271	0.127	C28	0.222	0.130	
C39	0.222	0.125	C29	0.189	0.123	
C310	0.182	0.120	C210	0.168	0.117	
C311	0.207	0.127	C211	0.191	0.126	
C312	0.234	0.129	C212	0.224	0.129	
C313	0.237	0.130	C213	0.235	0.130	
C314	0.237	0.129	C214	0.246	0.130	
C315	0.222	0.129	C215	0.230	0.130	
C316	0.210	0.129	C216	0.217	0.129	
C317	0.192	0.126	C217	0.195	0.126	
C318	0.180	0.127	C218	0.180	0.126	
Av	0.247	0.011	Av	0.239	0.011	
