	POPI			POPI		
C32	0.251	0.036	C22	0.204	0.037	
C33	0.235	0.039	C23	0.258	0.035	
C34	0.277	0.035	C24	0.250	0.037	
C35	0.275	0.037	C25	0.258	0.038	
C36	0.290	0.035	C26	0.242	0.040	
C37	0.284	0.037	C27	0.236	0.040	
C38	0.285	0.037	C28	0.172	0.044	
C39	0.272	0.038	C29	0.120	0.045	
C310	0.265	0.038	C210	0.053	0.037	
C311	0.249	0.040	C211	0.124	0.046	
C312	0.233	0.041	C212	0.187	0.043	
C313	0.207	0.043	C213	0.191	0.044	
C314	0.178	0.045	C214	0.201	0.044	
C315	0.130	0.048	C215	0.179	0.046	
C316	0.054	0.038	C216	0.162	0.047	
 	 	 	C217	0.117	0.049	
 	 	 	C218	0.055	0.039	
Av	0.232	0.017	Av	0.177	0.015	
