	DOPC			DOPC		
C32	0.264	0.034	C22	0.167	0.041	
C33	0.233	0.039	C23	0.232	0.037	
C34	0.263	0.037	C24	0.232	0.039	
C35	0.255	0.038	C25	0.247	0.038	
C36	0.254	0.039	C26	0.228	0.040	
C37	0.235	0.040	C27	0.227	0.040	
C38	0.198	0.043	C28	0.158	0.045	
C39	0.137	0.044	C29	0.111	0.046	
C310	0.098	0.044	C210	0.051	0.036	
C311	0.133	0.045	C211	0.123	0.047	
C312	0.174	0.044	C212	0.183	0.044	
C313	0.169	0.045	C213	0.188	0.045	
C314	0.174	0.045	C214	0.198	0.044	
C315	0.150	0.047	C215	0.178	0.045	
C316	0.133	0.047	C216	0.162	0.046	
C317	0.094	0.047	C217	0.117	0.048	
C318	0.051	0.037	C218	0.055	0.039	
Av	0.177	0.015	Av	0.168	0.014	
