	DOPC			DOPC		
C32	0.262	0.035	C22	0.173	0.043	
C33	0.229	0.041	C23	0.240	0.039	
C34	0.263	0.037	C24	0.240	0.039	
C35	0.255	0.039	C25	0.252	0.038	
C36	0.254	0.040	C26	0.234	0.040	
C37	0.235	0.042	C27	0.231	0.041	
C38	0.193	0.045	C28	0.165	0.046	
C39	0.138	0.047	C29	0.114	0.048	
C310	0.100	0.047	C210	0.054	0.038	
C311	0.132	0.049	C211	0.123	0.049	
C312	0.176	0.047	C212	0.184	0.045	
C313	0.172	0.047	C213	0.185	0.046	
C314	0.176	0.047	C214	0.196	0.045	
C315	0.152	0.048	C215	0.176	0.047	
C316	0.134	0.049	C216	0.159	0.048	
C317	0.096	0.049	C217	0.116	0.050	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.178	0.015	Av	0.170	0.014	
