	POPI			POPI		
C32	0.252	0.037	C22	0.214	0.041	
C33	0.232	0.040	C23	0.262	0.039	
C34	0.274	0.038	C24	0.254	0.040	
C35	0.271	0.040	C25	0.261	0.039	
C36	0.286	0.038	C26	0.244	0.041	
C37	0.280	0.039	C27	0.239	0.041	
C38	0.280	0.039	C28	0.173	0.046	
C39	0.269	0.039	C29	0.116	0.049	
C310	0.261	0.040	C210	0.061	0.041	
C311	0.245	0.042	C211	0.132	0.049	
C312	0.231	0.043	C212	0.193	0.046	
C313	0.207	0.046	C213	0.194	0.046	
C314	0.179	0.048	C214	0.204	0.046	
C315	0.131	0.051	C215	0.182	0.047	
C316	0.056	0.040	C216	0.165	0.048	
 	 	 	C217	0.119	0.051	
 	 	 	C218	0.057	0.040	
Av	0.230	0.016	Av	0.181	0.015	
