	DOPC			DOPC		
C32	0.254	0.031	C22	0.167	0.037	
C33	0.217	0.036	C23	0.219	0.034	
C34	0.253	0.032	C24	0.217	0.035	
C35	0.238	0.034	C25	0.225	0.036	
C36	0.236	0.034	C26	0.209	0.038	
C37	0.217	0.036	C27	0.207	0.037	
C38	0.183	0.038	C28	0.150	0.040	
C39	0.130	0.039	C29	0.107	0.042	
C310	0.093	0.040	C210	0.043	0.031	
C311	0.114	0.042	C211	0.101	0.043	
C312	0.151	0.041	C212	0.156	0.041	
C313	0.144	0.042	C213	0.156	0.041	
C314	0.148	0.042	C214	0.165	0.040	
C315	0.125	0.043	C215	0.145	0.042	
C316	0.111	0.043	C216	0.131	0.042	
C317	0.079	0.042	C217	0.094	0.042	
C318	0.043	0.032	C218	0.046	0.033	
Av	0.161	0.015	Av	0.149	0.013	
