	POPI			POPI		
C32	0.238	0.032	C22	0.197	0.035	
C33	0.213	0.035	C23	0.247	0.032	
C34	0.260	0.032	C24	0.237	0.033	
C35	0.256	0.032	C25	0.245	0.033	
C36	0.274	0.031	C26	0.229	0.034	
C37	0.265	0.032	C27	0.227	0.034	
C38	0.267	0.032	C28	0.168	0.038	
C39	0.253	0.034	C29	0.119	0.041	
C310	0.245	0.035	C210	0.044	0.032	
C311	0.225	0.037	C211	0.111	0.041	
C312	0.209	0.038	C212	0.170	0.040	
C313	0.181	0.040	C213	0.171	0.041	
C314	0.154	0.041	C214	0.180	0.040	
C315	0.110	0.043	C215	0.159	0.041	
C316	0.047	0.033	C216	0.142	0.042	
 	 	 	C217	0.100	0.043	
 	 	 	C218	0.046	0.033	
Av	0.213	0.016	Av	0.164	0.015	
