	POPI			POPI		
C32	0.259	0.037	C22	0.205	0.040	
C33	0.239	0.041	C23	0.263	0.036	
C34	0.278	0.036	C24	0.251	0.039	
C35	0.273	0.037	C25	0.259	0.038	
C36	0.288	0.036	C26	0.241	0.041	
C37	0.280	0.037	C27	0.238	0.041	
C38	0.280	0.037	C28	0.173	0.047	
C39	0.268	0.039	C29	0.115	0.048	
C310	0.261	0.040	C210	0.053	0.038	
C311	0.245	0.041	C211	0.125	0.050	
C312	0.230	0.043	C212	0.185	0.046	
C313	0.205	0.045	C213	0.189	0.045	
C314	0.177	0.047	C214	0.200	0.045	
C315	0.130	0.050	C215	0.179	0.047	
C316	0.057	0.040	C216	0.162	0.049	
 	 	 	C217	0.118	0.051	
 	 	 	C218	0.056	0.040	
Av	0.231	0.016	Av	0.177	0.015	
