	DOPC			DOPC		
C32	0.258	0.038	C22	0.189	0.043	
C33	0.226	0.042	C23	0.243	0.039	
C34	0.262	0.039	C24	0.242	0.042	
C35	0.253	0.042	C25	0.251	0.042	
C36	0.253	0.041	C26	0.235	0.044	
C37	0.235	0.043	C27	0.231	0.044	
C38	0.196	0.046	C28	0.168	0.048	
C39	0.138	0.047	C29	0.114	0.049	
C310	0.105	0.046	C210	0.054	0.039	
C311	0.136	0.048	C211	0.121	0.049	
C312	0.177	0.046	C212	0.180	0.047	
C313	0.174	0.047	C213	0.184	0.047	
C314	0.178	0.046	C214	0.195	0.046	
C315	0.156	0.048	C215	0.175	0.048	
C316	0.137	0.049	C216	0.159	0.049	
C317	0.098	0.049	C217	0.115	0.051	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.178	0.015	Av	0.171	0.015	
