	POPI			POPI		
C32	0.246	0.036	C22	0.206	0.037	
C33	0.228	0.038	C23	0.263	0.034	
C34	0.269	0.034	C24	0.250	0.036	
C35	0.264	0.035	C25	0.257	0.036	
C36	0.280	0.034	C26	0.237	0.038	
C37	0.272	0.036	C27	0.230	0.039	
C38	0.274	0.037	C28	0.168	0.045	
C39	0.261	0.038	C29	0.113	0.045	
C310	0.254	0.040	C210	0.051	0.036	
C311	0.238	0.040	C211	0.122	0.046	
C312	0.224	0.042	C212	0.179	0.045	
C313	0.199	0.044	C213	0.181	0.045	
C314	0.171	0.046	C214	0.191	0.044	
C315	0.126	0.048	C215	0.170	0.046	
C316	0.053	0.038	C216	0.154	0.047	
 	 	 	C217	0.110	0.048	
 	 	 	C218	0.054	0.038	
Av	0.224	0.016	Av	0.173	0.015	
