	DOPC			DOPC		
C32	0.263	0.034	C22	0.179	0.043	
C33	0.225	0.040	C23	0.239	0.038	
C34	0.265	0.036	C24	0.239	0.038	
C35	0.256	0.037	C25	0.246	0.036	
C36	0.257	0.038	C26	0.228	0.039	
C37	0.238	0.039	C27	0.223	0.039	
C38	0.202	0.043	C28	0.159	0.045	
C39	0.146	0.044	C29	0.113	0.045	
C310	0.103	0.045	C210	0.051	0.036	
C311	0.137	0.047	C211	0.114	0.048	
C312	0.175	0.045	C212	0.173	0.045	
C313	0.171	0.045	C213	0.178	0.045	
C314	0.174	0.045	C214	0.190	0.044	
C315	0.149	0.047	C215	0.172	0.045	
C316	0.132	0.048	C216	0.156	0.046	
C317	0.093	0.048	C217	0.115	0.048	
C318	0.050	0.036	C218	0.054	0.038	
Av	0.179	0.015	Av	0.166	0.014	
