	DOPC			DOPC		
C32	0.254	0.038	C22	0.161	0.045	
C33	0.224	0.043	C23	0.234	0.042	
C34	0.260	0.039	C24	0.236	0.042	
C35	0.251	0.041	C25	0.248	0.042	
C36	0.254	0.042	C26	0.231	0.044	
C37	0.234	0.043	C27	0.227	0.045	
C38	0.198	0.046	C28	0.165	0.050	
C39	0.142	0.048	C29	0.113	0.051	
C310	0.106	0.049	C210	0.057	0.040	
C311	0.137	0.051	C211	0.119	0.053	
C312	0.178	0.049	C212	0.178	0.050	
C313	0.174	0.050	C213	0.184	0.050	
C314	0.180	0.050	C214	0.196	0.049	
C315	0.156	0.052	C215	0.177	0.051	
C316	0.139	0.053	C216	0.160	0.052	
C317	0.100	0.052	C217	0.118	0.054	
C318	0.056	0.040	C218	0.059	0.042	
Av	0.179	0.014	Av	0.168	0.014	
