	POPI			POPI		
C32	0.241	0.043	C22	0.230	0.041	
C33	0.225	0.045	C23	0.273	0.037	
C34	0.272	0.040	C24	0.262	0.039	
C35	0.271	0.041	C25	0.268	0.039	
C36	0.289	0.039	C26	0.250	0.041	
C37	0.285	0.039	C27	0.246	0.043	
C38	0.287	0.039	C28	0.179	0.049	
C39	0.278	0.040	C29	0.122	0.051	
C310	0.271	0.042	C210	0.059	0.041	
C311	0.256	0.043	C211	0.130	0.052	
C312	0.242	0.045	C212	0.196	0.048	
C313	0.217	0.047	C213	0.199	0.048	
C314	0.187	0.050	C214	0.209	0.048	
C315	0.139	0.053	C215	0.187	0.050	
C316	0.059	0.042	C216	0.169	0.051	
 	 	 	C217	0.121	0.053	
 	 	 	C218	0.060	0.042	
Av	0.235	0.016	Av	0.186	0.016	
