	POPI			POPI		
C32	0.251	0.052	C22	0.203	0.054	
C33	0.237	0.058	C23	0.271	0.049	
C34	0.282	0.051	C24	0.261	0.050	
C35	0.280	0.054	C25	0.274	0.050	
C36	0.295	0.051	C26	0.254	0.054	
C37	0.286	0.052	C27	0.247	0.056	
C38	0.289	0.051	C28	0.182	0.062	
C39	0.276	0.053	C29	0.125	0.062	
C310	0.269	0.053	C210	0.070	0.049	
C311	0.254	0.055	C211	0.135	0.064	
C312	0.240	0.057	C212	0.200	0.061	
C313	0.218	0.060	C213	0.204	0.060	
C314	0.190	0.064	C214	0.214	0.060	
C315	0.144	0.066	C215	0.193	0.062	
C316	0.072	0.051	C216	0.177	0.064	
 	 	 	C217	0.132	0.065	
 	 	 	C218	0.072	0.052	
Av	0.239	0.015	Av	0.189	0.015	
