	DOPC			DOPC		
C32	0.266	0.050	C22	0.144	0.057	
C33	0.229	0.055	C23	0.240	0.050	
C34	0.261	0.053	C24	0.242	0.053	
C35	0.253	0.054	C25	0.265	0.050	
C36	0.257	0.053	C26	0.248	0.053	
C37	0.237	0.056	C27	0.245	0.053	
C38	0.201	0.059	C28	0.174	0.063	
C39	0.141	0.061	C29	0.124	0.062	
C310	0.117	0.060	C210	0.066	0.047	
C311	0.149	0.063	C211	0.135	0.064	
C312	0.189	0.061	C212	0.195	0.061	
C313	0.187	0.062	C213	0.200	0.061	
C314	0.189	0.062	C214	0.211	0.060	
C315	0.166	0.063	C215	0.190	0.063	
C316	0.147	0.065	C216	0.174	0.064	
C317	0.108	0.063	C217	0.129	0.065	
C318	0.069	0.050	C218	0.072	0.052	
Av	0.186	0.014	Av	0.180	0.014	
