	DOPC			DOPC		
C32	0.254	0.050	C22	0.195	0.060	
C33	0.227	0.056	C23	0.256	0.052	
C34	0.262	0.052	C24	0.251	0.053	
C35	0.252	0.053	C25	0.261	0.051	
C36	0.250	0.054	C26	0.242	0.055	
C37	0.232	0.056	C27	0.237	0.055	
C38	0.196	0.059	C28	0.171	0.062	
C39	0.138	0.061	C29	0.122	0.062	
C310	0.110	0.060	C210	0.065	0.047	
C311	0.141	0.063	C211	0.122	0.064	
C312	0.184	0.062	C212	0.182	0.065	
C313	0.185	0.063	C213	0.188	0.063	
C314	0.191	0.063	C214	0.200	0.062	
C315	0.170	0.064	C215	0.181	0.064	
C316	0.152	0.065	C216	0.165	0.065	
C317	0.115	0.064	C217	0.123	0.065	
C318	0.069	0.050	C218	0.071	0.051	
Av	0.184	0.014	Av	0.178	0.014	
