	POPI			POPI		
C32	0.258	0.052	C22	0.195	0.055	
C33	0.239	0.057	C23	0.266	0.050	
C34	0.283	0.051	C24	0.260	0.051	
C35	0.281	0.052	C25	0.273	0.050	
C36	0.297	0.049	C26	0.255	0.052	
C37	0.292	0.050	C27	0.250	0.053	
C38	0.291	0.050	C28	0.181	0.061	
C39	0.282	0.051	C29	0.123	0.061	
C310	0.275	0.052	C210	0.072	0.051	
C311	0.260	0.055	C211	0.139	0.065	
C312	0.247	0.057	C212	0.202	0.062	
C313	0.225	0.061	C213	0.207	0.062	
C314	0.197	0.063	C214	0.219	0.061	
C315	0.148	0.066	C215	0.199	0.063	
C316	0.073	0.052	C216	0.183	0.064	
 	 	 	C217	0.136	0.066	
 	 	 	C218	0.074	0.053	
Av	0.243	0.016	Av	0.190	0.015	
