	POPI			POPI		
C32	0.262	0.039	C22	0.187	0.045	
C33	0.238	0.043	C23	0.252	0.041	
C34	0.287	0.038	C24	0.246	0.042	
C35	0.283	0.040	C25	0.262	0.040	
C36	0.300	0.037	C26	0.246	0.043	
C37	0.294	0.038	C27	0.244	0.042	
C38	0.296	0.038	C28	0.175	0.049	
C39	0.282	0.041	C29	0.122	0.051	
C310	0.276	0.041	C210	0.058	0.041	
C311	0.259	0.044	C211	0.132	0.052	
C312	0.246	0.045	C212	0.197	0.048	
C313	0.218	0.048	C213	0.202	0.048	
C314	0.189	0.050	C214	0.213	0.048	
C315	0.139	0.053	C215	0.192	0.049	
C316	0.061	0.043	C216	0.175	0.050	
 	 	 	C217	0.126	0.053	
 	 	 	C218	0.061	0.043	
Av	0.242	0.017	Av	0.182	0.015	
