	DOPC			DOPC		
C32	0.273	0.036	C22	0.177	0.046	
C33	0.243	0.042	C23	0.250	0.042	
C34	0.272	0.038	C24	0.251	0.043	
C35	0.264	0.040	C25	0.264	0.042	
C36	0.261	0.041	C26	0.248	0.044	
C37	0.241	0.044	C27	0.245	0.043	
C38	0.202	0.047	C28	0.176	0.050	
C39	0.144	0.050	C29	0.121	0.050	
C310	0.110	0.049	C210	0.058	0.041	
C311	0.144	0.052	C211	0.132	0.052	
C312	0.187	0.049	C212	0.196	0.048	
C313	0.182	0.050	C213	0.198	0.049	
C314	0.185	0.050	C214	0.209	0.047	
C315	0.161	0.052	C215	0.188	0.049	
C316	0.142	0.053	C216	0.171	0.051	
C317	0.101	0.053	C217	0.124	0.053	
C318	0.056	0.040	C218	0.060	0.043	
Av	0.186	0.015	Av	0.181	0.015	
