	POPI			POPI		
C32	0.248	0.043	C22	0.229	0.041	
C33	0.231	0.045	C23	0.273	0.038	
C34	0.277	0.039	C24	0.263	0.039	
C35	0.275	0.040	C25	0.271	0.039	
C36	0.292	0.038	C26	0.254	0.041	
C37	0.288	0.038	C27	0.250	0.042	
C38	0.291	0.038	C28	0.182	0.048	
C39	0.280	0.039	C29	0.124	0.051	
C310	0.272	0.041	C210	0.058	0.041	
C311	0.257	0.043	C211	0.134	0.051	
C312	0.243	0.044	C212	0.200	0.047	
C313	0.218	0.047	C213	0.202	0.047	
C314	0.189	0.050	C214	0.211	0.046	
C315	0.140	0.053	C215	0.187	0.049	
C316	0.059	0.042	C216	0.170	0.050	
 	 	 	C217	0.121	0.053	
 	 	 	C218	0.060	0.043	
Av	0.237	0.016	Av	0.188	0.016	
