	DOPC			DOPC		
C32	0.251	0.039	C22	0.159	0.043	
C33	0.225	0.042	C23	0.233	0.041	
C34	0.260	0.039	C24	0.237	0.042	
C35	0.250	0.041	C25	0.247	0.041	
C36	0.251	0.042	C26	0.229	0.044	
C37	0.232	0.043	C27	0.225	0.044	
C38	0.196	0.047	C28	0.163	0.050	
C39	0.140	0.048	C29	0.109	0.051	
C310	0.107	0.049	C210	0.058	0.041	
C311	0.139	0.051	C211	0.118	0.053	
C312	0.181	0.048	C212	0.177	0.051	
C313	0.178	0.049	C213	0.183	0.051	
C314	0.183	0.049	C214	0.195	0.050	
C315	0.159	0.051	C215	0.176	0.052	
C316	0.143	0.052	C216	0.160	0.052	
C317	0.103	0.052	C217	0.118	0.054	
C318	0.056	0.040	C218	0.059	0.042	
Av	0.179	0.014	Av	0.167	0.014	
