	DOPC			DOPC		
C32	0.255	0.044	C22	0.176	0.049	
C33	0.218	0.049	C23	0.236	0.047	
C34	0.257	0.043	C24	0.240	0.047	
C35	0.249	0.045	C25	0.251	0.047	
C36	0.246	0.046	C26	0.233	0.048	
C37	0.230	0.048	C27	0.230	0.048	
C38	0.192	0.052	C28	0.164	0.053	
C39	0.132	0.054	C29	0.112	0.054	
C310	0.103	0.053	C210	0.058	0.042	
C311	0.139	0.055	C211	0.124	0.055	
C312	0.183	0.052	C212	0.183	0.053	
C313	0.179	0.053	C213	0.189	0.054	
C314	0.183	0.053	C214	0.200	0.053	
C315	0.159	0.055	C215	0.181	0.055	
C316	0.141	0.056	C216	0.165	0.055	
C317	0.103	0.055	C217	0.123	0.057	
C318	0.059	0.043	C218	0.063	0.045	
Av	0.178	0.014	Av	0.172	0.014	
