	POPI			POPI		
C32	0.240	0.043	C22	0.205	0.047	
C33	0.226	0.047	C23	0.260	0.043	
C34	0.271	0.042	C24	0.247	0.045	
C35	0.272	0.043	C25	0.257	0.045	
C36	0.287	0.041	C26	0.239	0.047	
C37	0.283	0.042	C27	0.235	0.047	
C38	0.284	0.042	C28	0.167	0.054	
C39	0.274	0.044	C29	0.115	0.054	
C310	0.268	0.044	C210	0.059	0.043	
C311	0.252	0.046	C211	0.126	0.056	
C312	0.238	0.048	C212	0.188	0.053	
C313	0.212	0.050	C213	0.195	0.052	
C314	0.184	0.053	C214	0.206	0.050	
C315	0.136	0.056	C215	0.187	0.052	
C316	0.062	0.045	C216	0.170	0.054	
 	 	 	C217	0.124	0.056	
 	 	 	C218	0.063	0.045	
Av	0.233	0.016	Av	0.179	0.015	
