	DOPC			DOPC		
C32	0.283	0.123	C22	0.284	0.130	
C33	0.258	0.131	C23	0.297	0.124	
C34	0.308	0.118	C24	0.291	0.125	
C35	0.307	0.120	C25	0.287	0.126	
C36	0.306	0.119	C26	0.270	0.131	
C37	0.290	0.123	C27	0.260	0.130	
C38	0.264	0.128	C28	0.215	0.129	
C39	0.218	0.126	C29	0.187	0.123	
C310	0.183	0.120	C210	0.173	0.120	
C311	0.207	0.127	C211	0.193	0.126	
C312	0.230	0.129	C212	0.220	0.128	
C313	0.233	0.130	C213	0.229	0.130	
C314	0.232	0.130	C214	0.241	0.130	
C315	0.219	0.129	C215	0.228	0.130	
C316	0.208	0.128	C216	0.218	0.129	
C317	0.191	0.126	C217	0.197	0.127	
C318	0.180	0.127	C218	0.180	0.126	
Av	0.242	0.010	Av	0.234	0.010	
