	POPI			POPI		
C32	0.268	0.129	C22	0.197	0.121	
C33	0.260	0.131	C23	0.260	0.127	
C34	0.294	0.123	C24	0.269	0.126	
C35	0.294	0.124	C25	0.289	0.122	
C36	0.304	0.121	C26	0.277	0.127	
C37	0.297	0.125	C27	0.281	0.124	
C38	0.300	0.124	C28	0.231	0.129	
C39	0.296	0.126	C29	0.188	0.120	
C310	0.291	0.128	C210	0.168	0.115	
C311	0.282	0.129	C211	0.213	0.127	
C312	0.275	0.130	C212	0.261	0.128	
C313	0.258	0.132	C213	0.263	0.129	
C314	0.239	0.132	C214	0.269	0.128	
C315	0.212	0.130	C215	0.254	0.130	
C316	0.182	0.128	C216	0.241	0.131	
 	 	 	C217	0.212	0.129	
 	 	 	C218	0.180	0.125	
Av	0.270	0.009	Av	0.238	0.009	
