	POPI			POPI		
C32	0.239	0.040	C22	0.201	0.046	
C33	0.219	0.044	C23	0.254	0.042	
C34	0.269	0.039	C24	0.247	0.040	
C35	0.266	0.039	C25	0.259	0.041	
C36	0.282	0.039	C26	0.242	0.044	
C37	0.274	0.040	C27	0.236	0.043	
C38	0.279	0.039	C28	0.172	0.050	
C39	0.267	0.041	C29	0.121	0.050	
C310	0.261	0.042	C210	0.057	0.040	
C311	0.244	0.044	C211	0.123	0.051	
C312	0.232	0.046	C212	0.185	0.048	
C313	0.207	0.049	C213	0.191	0.048	
C314	0.180	0.050	C214	0.202	0.047	
C315	0.134	0.053	C215	0.181	0.049	
C316	0.060	0.043	C216	0.165	0.051	
 	 	 	C217	0.120	0.053	
 	 	 	C218	0.060	0.042	
Av	0.228	0.015	Av	0.177	0.015	
