	DOPC			DOPC		
C32	0.269	0.039	C22	0.177	0.047	
C33	0.235	0.044	C23	0.241	0.042	
C34	0.270	0.040	C24	0.244	0.042	
C35	0.264	0.044	C25	0.258	0.041	
C36	0.265	0.043	C26	0.241	0.043	
C37	0.245	0.045	C27	0.237	0.043	
C38	0.199	0.049	C28	0.171	0.049	
C39	0.139	0.049	C29	0.118	0.050	
C310	0.096	0.049	C210	0.057	0.040	
C311	0.137	0.051	C211	0.123	0.053	
C312	0.181	0.049	C212	0.183	0.051	
C313	0.180	0.050	C213	0.184	0.050	
C314	0.186	0.050	C214	0.195	0.048	
C315	0.160	0.051	C215	0.174	0.050	
C316	0.143	0.052	C216	0.158	0.051	
C317	0.102	0.052	C217	0.116	0.053	
C318	0.056	0.041	C218	0.059	0.042	
Av	0.184	0.016	Av	0.173	0.015	
