	POPI			POPI		
C32	0.250	0.052	C22	0.210	0.054	
C33	0.234	0.057	C23	0.263	0.050	
C34	0.281	0.051	C24	0.251	0.054	
C35	0.277	0.053	C25	0.262	0.054	
C36	0.291	0.050	C26	0.242	0.058	
C37	0.281	0.052	C27	0.237	0.058	
C38	0.283	0.051	C28	0.173	0.063	
C39	0.271	0.053	C29	0.120	0.062	
C310	0.264	0.053	C210	0.068	0.048	
C311	0.250	0.056	C211	0.130	0.064	
C312	0.238	0.057	C212	0.192	0.063	
C313	0.214	0.060	C213	0.197	0.062	
C314	0.187	0.063	C214	0.208	0.061	
C315	0.141	0.066	C215	0.188	0.063	
C316	0.071	0.051	C216	0.172	0.064	
 	 	 	C217	0.128	0.065	
 	 	 	C218	0.071	0.051	
Av	0.236	0.015	Av	0.183	0.015	
