	DOPC			DOPC		
C32	0.268	0.049	C22	0.164	0.064	
C33	0.226	0.056	C23	0.244	0.051	
C34	0.260	0.052	C24	0.245	0.052	
C35	0.253	0.053	C25	0.263	0.050	
C36	0.257	0.052	C26	0.247	0.054	
C37	0.237	0.056	C27	0.244	0.054	
C38	0.200	0.059	C28	0.174	0.062	
C39	0.140	0.060	C29	0.124	0.062	
C310	0.116	0.060	C210	0.066	0.047	
C311	0.150	0.063	C211	0.133	0.064	
C312	0.189	0.061	C212	0.194	0.061	
C313	0.186	0.062	C213	0.198	0.061	
C314	0.189	0.062	C214	0.208	0.060	
C315	0.166	0.063	C215	0.187	0.063	
C316	0.148	0.065	C216	0.171	0.064	
C317	0.109	0.063	C217	0.128	0.065	
C318	0.069	0.050	C218	0.072	0.052	
Av	0.186	0.014	Av	0.180	0.014	
