	POPI			POPI		
C32	0.247	0.039	C22	0.188	0.044	
C33	0.230	0.044	C23	0.258	0.038	
C34	0.278	0.038	C24	0.251	0.040	
C35	0.277	0.039	C25	0.262	0.040	
C36	0.294	0.037	C26	0.243	0.042	
C37	0.289	0.038	C27	0.239	0.043	
C38	0.290	0.038	C28	0.172	0.048	
C39	0.277	0.039	C29	0.115	0.051	
C310	0.269	0.041	C210	0.057	0.041	
C311	0.253	0.043	C211	0.130	0.052	
C312	0.239	0.044	C212	0.192	0.049	
C313	0.213	0.047	C213	0.195	0.048	
C314	0.183	0.049	C214	0.205	0.047	
C315	0.134	0.053	C215	0.185	0.049	
C316	0.059	0.042	C216	0.167	0.050	
 	 	 	C217	0.121	0.053	
 	 	 	C218	0.059	0.042	
Av	0.236	0.016	Av	0.179	0.015	
