	DOPC			DOPC		
C32	0.258	0.038	C22	0.161	0.045	
C33	0.219	0.044	C23	0.232	0.043	
C34	0.257	0.040	C24	0.233	0.043	
C35	0.246	0.042	C25	0.247	0.043	
C36	0.247	0.043	C26	0.230	0.044	
C37	0.226	0.044	C27	0.228	0.044	
C38	0.191	0.048	C28	0.163	0.050	
C39	0.135	0.049	C29	0.114	0.051	
C310	0.106	0.049	C210	0.056	0.040	
C311	0.131	0.052	C211	0.118	0.052	
C312	0.171	0.049	C212	0.178	0.049	
C313	0.167	0.050	C213	0.182	0.049	
C314	0.172	0.050	C214	0.193	0.048	
C315	0.149	0.052	C215	0.174	0.050	
C316	0.134	0.053	C216	0.158	0.051	
C317	0.097	0.052	C217	0.115	0.053	
C318	0.056	0.040	C218	0.058	0.042	
Av	0.174	0.014	Av	0.167	0.014	
