	POPI			POPI		
C32	0.245	0.036	C22	0.185	0.034	
C33	0.227	0.038	C23	0.247	0.034	
C34	0.271	0.033	C24	0.239	0.035	
C35	0.268	0.034	C25	0.249	0.035	
C36	0.283	0.033	C26	0.231	0.037	
C37	0.279	0.033	C27	0.227	0.037	
C38	0.279	0.033	C28	0.164	0.041	
C39	0.269	0.034	C29	0.110	0.044	
C310	0.260	0.035	C210	0.052	0.037	
C311	0.243	0.037	C211	0.127	0.045	
C312	0.229	0.038	C212	0.187	0.041	
C313	0.203	0.041	C213	0.190	0.042	
C314	0.175	0.043	C214	0.201	0.041	
C315	0.128	0.046	C215	0.180	0.043	
C316	0.052	0.037	C216	0.162	0.044	
 	 	 	C217	0.116	0.046	
 	 	 	C218	0.053	0.037	
Av	0.228	0.016	Av	0.172	0.015	
