	DOPC			DOPC		
C32	0.261	0.033	C22	0.183	0.040	
C33	0.229	0.038	C23	0.246	0.035	
C34	0.264	0.035	C24	0.249	0.035	
C35	0.256	0.037	C25	0.258	0.034	
C36	0.255	0.035	C26	0.242	0.036	
C37	0.236	0.037	C27	0.237	0.037	
C38	0.196	0.040	C28	0.173	0.043	
C39	0.137	0.041	C29	0.120	0.045	
C310	0.100	0.043	C210	0.053	0.037	
C311	0.133	0.045	C211	0.124	0.045	
C312	0.176	0.043	C212	0.184	0.041	
C313	0.171	0.043	C213	0.185	0.042	
C314	0.175	0.044	C214	0.195	0.041	
C315	0.149	0.045	C215	0.173	0.043	
C316	0.132	0.046	C216	0.156	0.044	
C317	0.093	0.046	C217	0.112	0.046	
C318	0.049	0.035	C218	0.052	0.037	
Av	0.177	0.015	Av	0.173	0.015	
