	DOPC			DOPC		
C32	0.255	0.037	C22	0.185	0.041	
C33	0.224	0.042	C23	0.238	0.039	
C34	0.257	0.039	C24	0.238	0.040	
C35	0.246	0.041	C25	0.247	0.040	
C36	0.248	0.041	C26	0.230	0.041	
C37	0.229	0.042	C27	0.227	0.041	
C38	0.189	0.045	C28	0.164	0.047	
C39	0.136	0.046	C29	0.114	0.048	
C310	0.106	0.046	C210	0.055	0.038	
C311	0.138	0.049	C211	0.119	0.050	
C312	0.176	0.047	C212	0.177	0.048	
C313	0.174	0.048	C213	0.178	0.048	
C314	0.177	0.048	C214	0.189	0.047	
C315	0.153	0.049	C215	0.169	0.048	
C316	0.135	0.050	C216	0.154	0.049	
C317	0.096	0.050	C217	0.112	0.050	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.176	0.014	Av	0.168	0.014	
