	POPI			POPI		
C32	0.246	0.037	C22	0.209	0.039	
C33	0.225	0.043	C23	0.257	0.036	
C34	0.273	0.038	C24	0.250	0.038	
C35	0.270	0.039	C25	0.257	0.038	
C36	0.284	0.037	C26	0.240	0.041	
C37	0.281	0.037	C27	0.236	0.041	
C38	0.281	0.037	C28	0.171	0.047	
C39	0.271	0.038	C29	0.114	0.048	
C310	0.263	0.039	C210	0.061	0.041	
C311	0.248	0.041	C211	0.136	0.049	
C312	0.234	0.042	C212	0.196	0.045	
C313	0.210	0.045	C213	0.198	0.045	
C314	0.182	0.047	C214	0.209	0.045	
C315	0.134	0.050	C215	0.187	0.047	
C316	0.057	0.040	C216	0.168	0.048	
 	 	 	C217	0.121	0.050	
 	 	 	C218	0.057	0.040	
Av	0.231	0.016	Av	0.181	0.015	
