	POPI			POPI		
C32	0.253	0.032	C22	0.189	0.033	
C33	0.232	0.036	C23	0.255	0.033	
C34	0.279	0.031	C24	0.245	0.034	
C35	0.279	0.033	C25	0.259	0.033	
C36	0.295	0.031	C26	0.241	0.035	
C37	0.288	0.033	C27	0.239	0.035	
C38	0.288	0.033	C28	0.174	0.039	
C39	0.276	0.034	C29	0.117	0.042	
C310	0.267	0.034	C210	0.050	0.035	
C311	0.249	0.036	C211	0.128	0.043	
C312	0.235	0.038	C212	0.189	0.040	
C313	0.207	0.040	C213	0.192	0.040	
C314	0.178	0.042	C214	0.202	0.039	
C315	0.128	0.044	C215	0.180	0.041	
C316	0.051	0.036	C216	0.162	0.042	
 	 	 	C217	0.116	0.044	
 	 	 	C218	0.052	0.036	
Av	0.234	0.017	Av	0.176	0.015	
