	DOPC			DOPC		
C32	0.274	0.029	C22	0.176	0.038	
C33	0.236	0.036	C23	0.243	0.034	
C34	0.270	0.033	C24	0.243	0.034	
C35	0.258	0.035	C25	0.255	0.033	
C36	0.257	0.034	C26	0.236	0.035	
C37	0.236	0.036	C27	0.235	0.036	
C38	0.199	0.038	C28	0.168	0.040	
C39	0.135	0.039	C29	0.115	0.042	
C310	0.102	0.041	C210	0.049	0.034	
C311	0.134	0.043	C211	0.125	0.043	
C312	0.177	0.040	C212	0.184	0.041	
C313	0.171	0.042	C213	0.185	0.041	
C314	0.176	0.041	C214	0.195	0.040	
C315	0.150	0.043	C215	0.174	0.041	
C316	0.132	0.043	C216	0.157	0.042	
C317	0.092	0.044	C217	0.112	0.044	
C318	0.047	0.034	C218	0.051	0.036	
Av	0.179	0.016	Av	0.171	0.015	
