	POPI			POPI		
C32	0.245	0.035	C22	0.186	0.035	
C33	0.226	0.038	C23	0.249	0.034	
C34	0.269	0.034	C24	0.241	0.035	
C35	0.267	0.035	C25	0.252	0.035	
C36	0.283	0.033	C26	0.234	0.037	
C37	0.278	0.034	C27	0.230	0.037	
C38	0.278	0.033	C28	0.166	0.041	
C39	0.268	0.035	C29	0.113	0.044	
C310	0.259	0.036	C210	0.052	0.036	
C311	0.243	0.038	C211	0.127	0.044	
C312	0.228	0.039	C212	0.187	0.041	
C313	0.202	0.041	C213	0.190	0.041	
C314	0.174	0.043	C214	0.200	0.041	
C315	0.127	0.046	C215	0.179	0.043	
C316	0.052	0.037	C216	0.162	0.044	
 	 	 	C217	0.116	0.046	
 	 	 	C218	0.053	0.037	
Av	0.227	0.016	Av	0.173	0.015	
