	DOPC			DOPC		
C32	0.264	0.032	C22	0.178	0.040	
C33	0.229	0.038	C23	0.243	0.036	
C34	0.264	0.035	C24	0.246	0.035	
C35	0.255	0.036	C25	0.255	0.035	
C36	0.255	0.035	C26	0.240	0.037	
C37	0.235	0.037	C27	0.236	0.037	
C38	0.195	0.040	C28	0.173	0.043	
C39	0.137	0.042	C29	0.120	0.045	
C310	0.098	0.043	C210	0.051	0.036	
C311	0.129	0.045	C211	0.119	0.045	
C312	0.171	0.043	C212	0.180	0.042	
C313	0.167	0.044	C213	0.181	0.043	
C314	0.171	0.043	C214	0.191	0.042	
C315	0.145	0.045	C215	0.169	0.044	
C316	0.129	0.046	C216	0.152	0.045	
C317	0.091	0.045	C217	0.109	0.046	
C318	0.048	0.035	C218	0.052	0.037	
Av	0.175	0.016	Av	0.170	0.015	
