	POPI			POPI		
C32	0.247	0.035	C22	0.204	0.037	
C33	0.223	0.038	C23	0.256	0.035	
C34	0.268	0.035	C24	0.246	0.036	
C35	0.264	0.036	C25	0.255	0.036	
C36	0.279	0.035	C26	0.238	0.039	
C37	0.273	0.036	C27	0.235	0.038	
C38	0.274	0.036	C28	0.173	0.044	
C39	0.263	0.038	C29	0.119	0.045	
C310	0.256	0.038	C210	0.054	0.038	
C311	0.240	0.040	C211	0.127	0.047	
C312	0.225	0.042	C212	0.187	0.044	
C313	0.200	0.044	C213	0.189	0.045	
C314	0.173	0.045	C214	0.197	0.044	
C315	0.127	0.048	C215	0.176	0.045	
C316	0.053	0.038	C216	0.159	0.046	
 	 	 	C217	0.113	0.048	
 	 	 	C218	0.054	0.038	
Av	0.224	0.016	Av	0.175	0.015	
